"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd"
"mu[20]6",2016-03-29,"서울강서구을","국민의당",10.7759645981071,4.65402764862322,16.961933815669,10.7692820688417,1.58450901782629
"mu[21]6",2016-03-30,"서울강서구을","국민의당",10.6727519139007,5.43070844265508,16.4092108326294,10.6825810227186,1.43163273543065
"mu[22]6",2016-03-31,"서울강서구을","국민의당",10.6673757563678,6.0390234572479,16.2726558124804,10.6661249325135,1.18697292522049
"mu[23]6",2016-04-01,"서울강서구을","국민의당",10.5668174794789,6.17797017165339,13.9177977647469,10.5768463308637,0.927376507504531
"mu[24]6",2016-04-02,"서울강서구을","국민의당",10.0466107975673,6.85739350814196,13.8765973806227,10.0504007273567,0.851700208177884
"mu[25]6",2016-04-03,"서울강서구을","국민의당",9.91293461628153,6.18467326131339,13.6391824737061,9.91222629759267,1.01456964612156
"mu[26]6",2016-04-04,"서울강서구을","국민의당",9.77950887507742,6.22584007338982,13.7567127176501,9.76500111078329,1.0389156749024
"mu[27]6",2016-04-05,"서울강서구을","국민의당",9.60452245223601,5.86912956082164,13.4068264003296,9.60909229882948,0.960814108741239
"mu[28]6",2016-04-06,"서울강서구을","국민의당",9.41009458907773,6.3824684781534,12.3601611521601,9.41251737831609,0.768223692771011
"mu[1]7",2016-03-10,"강원동해시삼척시","새누리당",38.9132663934345,38.5811663547004,39.2548792449943,38.9124600337213,0.0904519582869854
"mu[2]7",2016-03-11,"강원동해시삼척시","새누리당",38.8688296915286,35.7782680501292,42.0589488176355,38.8753575578038,0.83418518177346
"mu[3]7",2016-03-12,"강원동해시삼척시","새누리당",38.8285647015384,34.4673901651139,43.1193486233854,38.8064974119458,1.10552610304501
