조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-03-31,2016-04-01,2016-04-01,서울,양천구갑,서울양천구갑,0.354,0.319,0.000,0.000,0.054,0.000,0.000,0.487,0.439,0.000,0.000,0.074,0.000,0.000,0.273,마크로밀엠브레인,YTN,유무선혼합RDD,ARS,500,1.8,1.49,3
2016-03-26,2016-03-26,2016-03-26,서울,강서구갑,서울강서구갑,0.285,0.247,0.066,0.000,0.089,0.000,0.000,0.415,0.360,0.096,0.000,0.130,0.000,0.000,0.313,밀워드브라운미디어리서치,조선일보,유선RDD,전화면접,501,12.3,1.44,3
2016-04-01,2016-04-02,2016-04-02,서울,강서구갑,서울강서구갑,0.367,0.265,0.089,0.000,0.066,0.000,0.000,0.466,0.337,0.113,0.000,0.084,0.000,0.000,0.213,포커스컴퍼니,문화일보,유선RDD,전화면접,510,8,2.35,3
2016-04-01,2016-04-02,2016-04-03,서울,강서구갑,서울강서구갑,0.318,0.269,0.116,0.000,0.082,0.000,0.000,0.405,0.343,0.148,0.000,0.104,0.000,0.000,0.215,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,7.7,2.29,2
2016-03-30,2016-04-01,2016-04-02,서울,강서구갑,서울강서구갑,0.365,0.188,0.117,0.000,0.063,0.000,0.000,0.498,0.256,0.160,0.000,0.086,0.000,0.000,0.267,리얼미터,서울경제,유선RDD,전화면접,600,17.1,1.55,2
2016-04-03,2016-04-04,2016-04-04,서울,강서구갑,서울강서구갑,0.323,0.290,0.105,0.000,0.084,0.000,0.000,0.403,0.362,0.131,0.000,0.105,0.000,0.000,0.198,㈜한국리서치,한겨레신문,유선RDD,전화면접,518,12.7,1.5,3
2016-04-04,2016-04-05,2016-04-05,서울,강서구갑,서울강서구갑,0.311,0.270,0.086,0.000,0.092,0.000,0.000,0.410,0.356,0.113,0.000,0.121,0.000,0.000,0.241,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접/ARS,515,4.2,2.48,3
2016-04-02,2016-04-02,2016-04-02,서울,강서구을,서울강서구을,0.439,0.288,0.099,0.000,0.014,0.000,0.000,0.523,0.343,0.118,0.000,0.017,0.000,0.000,0.160,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,502,20.2,1.49,3
2016-04-03,2016-04-04,2016-04-04,서울,강서구을,서울강서구을,0.455,0.303,0.079,0.000,0.022,0.000,0.000,0.530,0.353,0.092,0.000,0.026,0.000,0.000,0.141,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,507,12.5,1.27,4
2016-03-25,2016-03-25,2016-03-25,서울,구로구갑,서울구로구갑,0.347,0.359,0.051,0.044,0.000,0.000,0.000,0.433,0.448,0.064,0.055,0.000,0.000,0.000,0.199,코리아리서치센터,한국일보,유선RDD,전화면접,510,8.2,1.4,2
2016-04-03,2016-04-04,2016-04-05,서울,구로구갑,서울구로구갑,0.327,0.455,0.059,0.021,0.000,0.000,0.000,0.379,0.528,0.068,0.024,0.000,0.000,0.000,0.138,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,6.5,2.02,3
2016-04-03,2016-04-04,2016-04-04,서울,구로구갑,서울구로구갑,0.297,0.466,0.066,0.032,0.000,0.000,0.000,0.345,0.541,0.077,0.037,0.000,0.000,0.000,0.139,㈜한국리서치,한겨레신문,유선RDD,전화면접,600,14.6,1.58,3
2016-04-05,2016-04-06,2016-04-06,서울,구로구갑,서울구로구갑,0.321,0.371,0.082,0.033,0.000,0.000,0.000,0.398,0.460,0.102,0.041,0.000,0.000,0.000,0.193,메트릭스코퍼레이션,시민일보,유선RDD,전화면접,515,8.7,1.1,3
2016-03-29,2016-03-29,2016-03-29,서울,구로구을,서울구로구을,0.280,0.355,0.098,0.000,0.000,0.000,0.000,0.382,0.484,0.134,0.000,0.000,0.000,0.000,0.267,밀워드브라운미디어리서치,조선일보,유선RDD,전화면접,507,3.5,2.49,3
2016-03-31,2016-04-01,2016-04-01,서울,구로구을,서울구로구을,0.295,0.421,0.063,0.000,0.000,0.000,0.000,0.379,0.540,0.081,0.000,0.000,0.000,0.000,0.221,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,6.2,2.11,3
