조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016/04/04,2016/04/05,2016/04/05,서울,은평구을,서울은평구을,0,0.273,0.249,0.098,0.222,0,0,0,0.324228029,0.295724466,0.116389549,0.263657957,0,0,0.158,조원씨앤아이,국민의당,유선/스마트폰앱혼합,ARS,501,3.4,1.8,2
2016/04/03,2016/04/04,2016/04/05,서울,마포구갑,서울마포구갑,0.27,0.474,0.062,0,0.068,0,0,0.308924485,0.542334096,0.070938215,0,0.077803204,0,0,0.126,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,501,12.3,1.44,3
2016/04/04,2016/04/05,2016/04/05,서울,강서구갑,서울강서구갑,0.311,0.27,0.086,0,0.092,0,0,0.409749671,0.355731225,0.113306983,0,0.121212121,0,0,0.241,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,14.6,1.58,3
2016/04/04,2016/04/05,2016/04/05,서울,강서구병,서울강서구병,0.304,0.278,0.169,0.053,0,0,0,0.378109453,0.345771144,0.210199005,0.065920398,0,0,0,0.196,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,5.8,2.24,3
2016/04/03,2016/04/04,2016/04/05,서울,구로구갑,서울구로구갑,0.327,0.455,0.059,0.021,0,0,0,0.379350348,0.527842227,0.068445476,0.024361949,0,0,0,0.138,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,27.2,1.47,3
2016/04/03,2016/04/04,2016/04/05,서울,영등포구갑,서울영등포구갑,0.365,0.332,0.06,0.047,0,0,0,0.4539801,0.412935323,0.074626866,0.058457711,0,0,0,0.196,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,12.2,1.56,3
2016/04/04,2016/04/05,2016/04/05,서울,관악구갑,서울관악구갑,0.206,0.371,0.282,0.062,0,0,0,0.223669924,0.402823018,0.306188925,0.067318132,0,0,0,0.079,조원씨앤아이,국민의당,유선/스마트폰앱혼합,ARS,501,2.7,1.8,2
2016/04/03,2016/04/04,2016/04/05,서울,강동구을,서울강동구을,0.319,0.355,0.116,0,0,0,0,0.403797468,0.449367089,0.146835443,0,0,0,0,0.21,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,19.7,1.32,3
2016/04/02,2016/04/04,2016/04/05,대구,동구갑,대구동구갑,0.366,0,0,0,0.427,0,0,0.461538462,0,0,0,0.538461538,0,0,0.207,TNS,SBS,유선RDD,전화면접,502,9.7,2.5,3
2016/04/04,2016/04/05,2016/04/05,대구,수성구갑,대구수성구갑,0.435,0.515,0,0,0,0,0,0.457894737,0.542105263,0,0,0,0,0,0.05,폴스미스,"TBC,매일신문",유선RDD,ARS,2005,4.5,2.497,2
2016/04/02,2016/04/04,2016/04/05,대구,수성구갑,대구수성구갑,0.322,0.576,0,0,0,0,0,0.35857461,0.64142539,0,0,0,0,0,0.102,TNS,SBS,유선RDD,전화면접,515,13.6,2.44,2
2016/04/05,2016/04/05,2016/04/05,대구,수성구을,대구수성구을,0.364,0.13,0,0,0.44,0,0,0.389721627,0.139186296,0,0,0.471092077,0,0,0.066,폴스미스,"매일신문,TBC",유선RDD,ARS,1062,2.6,2.39,2
2016/04/04,2016/04/05,2016/04/05,대구,수성구을,대구수성구을,0.269,0.121,0,0,0.404,0,0,0.338790932,0.152392947,0,0,0.508816121,0,0,0.206,리서치앤리서치,동아일보,유선RDD,전화면접,500,9.4,1.83,2
2016/04/04,2016/04/05,2016/04/05,인천,남구을,인천남구을,0.131,0,0.201,0.202,0.348,0,0,0.148526077,0,0.227891156,0.229024943,0.394557823,0,0,0.118,조원씨앤아이,국민의당,유선/스마트폰앱혼합,ARS,501,3.6,1.6,2
2016/04/04,2016/04/05,2016/04/05,인천,남동구을,인천남동구을,0.332,0.357,0,0,0,0,0,0.481857765,0.518142235,0,0,0,0,0,0.311,리서치앤리서치,동아일보,유선RDD,전화면접,500,7.8,1.51,3
2016/04/01,2016/04/03,2016/04/05,인천,계양구을,인천계양구을,0.473,0.272,0.181,0,0,0,0,0.510799136,0.293736501,0.195464363,0,0,0,0,0.074,윈폴,윤형선,유선RDD,ARS,500,0.6,2.45,2
2016/04/04,2016/04/05,2016/04/05,인천,서구을,인천서구을,0.278,0.251,0.091,0,0,0,0,0.448387097,0.40483871,0.146774194,0,0,0,0,0.38,한국CNR,경인일보,유선/인터넷혼합,전화면접,501,24.2,1.3,3
2016/04/03,2016/04/04,2016/04/05,광주,동구남구을,광주동구남구을,0.074,0.273,0.485,0,0,0,0,0.088942308,0.328125,0.582932692,0,0,0,0,0.168,리얼미터,무등일보,유선/스마트폰앱혼합,ARS,515,5.1,2.18,2
2016/04/03,2016/04/04,2016/04/05,광주,광산구을,광주광산구을,0.037,0.352,0.441,0.052,0,0,0,0.041950113,0.399092971,0.5,0.058956916,0,0,0,0.118,리얼미터,무등일보,유선/스마트폰앱혼합,ARS,702,1.6,2.31,2
2016/04/03,2016/04/04,2016/04/05,광주,광산구을,광주광산구을,0.028,0.403,0.358,0.034,0.007,0,0,0.03373494,0.485542169,0.431325301,0.040963855,0.008433735,0,0,0.17,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,16.3,1.41,3
